code,system
423..00,readv2
423..11,readv2
423Z.00,readv2
4231,readv2
4232,readv2
4233,readv2
4234,readv2
4235,readv2
4239,readv2
423A.00,readv2
423C.00,readv2
4236,readv2
4238,readv2
4242,readv2
4262,readv2
4265,readv2
4237,readv2
423B.00,readv2
4241,readv2
4243,readv2
4261,readv2
4267,readv2
42H1.00,readv2
42H5.00,readv2
44F1.00,readv2
44G3000,readv2
44G3100,readv2
44H5000,readv2
44H5100,readv2
424..00,readv2
424Z.00,readv2
426..00,readv2
44D3.00,readv2
44G..11,readv2
44G..12,readv2
4263,readv2
426Z.00,readv2
42H6.00,readv2
42MG.00,readv2
4264,readv2
44F2.00,readv2
44H5200,readv2
4266,readv2
42b8.00,readv2
42H..00,readv2
42H7.00,readv2
42H8.00,readv2
42HZ.00,readv2
42bD.00,readv2
44F3.00,readv2
42H..11,readv2
42H..12,readv2
42H2.00,readv2
42H2.11,readv2
42H3.00,readv2
42H3.11,readv2
42H4.00,readv2
42I..00,readv2
42I..11,readv2
42I1.00,readv2
42I2.00,readv2
42IZ.00,readv2
42P..00,readv2
42P1.00,readv2
42P4.00,readv2
42P5.00,readv2
42P7.00,readv2
42P9.00,readv2
42PA.00,readv2
42PZ.00,readv2
42P2.00,readv2
42P2.11,readv2
42P8.00,readv2
42P3.00,readv2
42P6.00,readv2
42b0.00,readv2
42b..00,readv2
42b1.00,readv2
42b2.00,readv2
42b3.00,readv2
42b4.00,readv2
42b5.00,readv2
42b6.00,readv2
42b7.00,readv2
42b9.00,readv2
42bA.00,readv2
42bB.00,readv2
42bC.00,readv2
42bE.00,readv2
44D..00,readv2
44D..11,readv2
44D1.00,readv2
44D2.00,readv2
44D6.00,readv2
44DZ.00,readv2
44D4.00,readv2
44D9.00,readv2
44D5.00,readv2
44D8.00,readv2
44D7.00,readv2
44G3.00,readv2
44H5.11,readv2
44H5.12,readv2
44F..00,readv2
44FE.00,readv2
44FZ.00,readv2
44F4.00,readv2
44F5.00,readv2
44F5000,readv2
44F6.00,readv2
44F7.00,readv2
44F8.00,readv2
44F9.00,readv2
44FA.00,readv2
44FB.00,readv2
44FC.00,readv2
44FD.00,readv2
44FF.00,readv2
44FG.00,readv2
44FH.00,readv2
44FI.00,readv2
44G..00,readv2
44G1.00,readv2
44G2.00,readv2
44GZ.00,readv2
44G4.00,readv2
44G4000,readv2
44G4100,readv2
44G7.00,readv2
44G9.00,readv2
44GA.00,readv2
44GB.00,readv2
44G5.00,readv2
44G5000,readv2
44G5200,readv2
44G6.00,readv2
44G8.00,readv2
44H5.00,readv2